Name	Length	EffectiveLength	TPM	NumReads
FBgn0016701	1149.01	967.41	61.8032	528
FBgn0039110	1769.52	1587.84	67.1787	942
FBgn0038839	2837.5	2655.82	0	0
FBgn0264307	3337.67	3155.99	9.39263	261.781
FBgn0263355	3558.24	3376.56	38.9606	1161.75
FBgn0032482	2176.61	1994.93	155.585	2741
FBgn0050082	843	661.571	0	0
FBgn0033698	5896	5714.32	20.1135	1015
FBgn0032240	530	348.701	141.853	436.822
FBgn0029925	1070	888.322	25.2396	198
FBgn0039017	1757	1575.32	7.97886	111
FBgn0259711	908	726.523	12.6248	81
FBgn0051140	5736.4	5554.72	7.60385	373
FBgn0036813	1221	1039.32	49.0286	450
FBgn0004379	2915.55	2733.87	24.8519	600
FBgn0036158	782	600.596	0	0
FBgn0031816	1999.3	1817.63	12.6467	203
FBgn0034923	1674.67	1493	30.9837	408.512
FBgn0039582	1151	969.322	0	0
FBgn0051635	6335.61	6153.93	9.86278	535.999
FBgn0263117	5200.04	5018.37	0.052924	2.345
FBgn0030259	717	535.63	0.211409	1
FBgn0029858	2037.85	1856.17	12.5721	206.081
FBgn0260745	2912.75	2731.08	180.361	4350
FBgn0015791	1154.69	973.018	136.277	1171
FBgn0051453	1564.84	1383.16	67.8685	829
FBgn0025574	2069.48	1887.8	21.2941	355
FBgn0039637	3177.71	2996.03	77.8968	2061
FBgn0023095	4718.25	4536.57	1.49765	60
FBgn0014022	1444	1262.32	16.416	183
FBgn0035134	1243	1061.32	1.17363	11
FBgn0044826	3595.89	3414.22	70.1798	2116
FBgn0030937	1405	1223.32	0	0
FBgn0085213	715	533.631	0.2122	1
FBgn0039875	2415.74	2234.06	69.8967	1379
FBgn0037736	4032.31	3850.63	0.235258	8
FBgn0024732	2153	1971.32	21.0238	366
FBgn0053700	1116	934.322	0	0
FBgn0260747	999.567	818.019	230.621	1666
FBgn0038011	1767	1585.32	0	0
FBgn0066365	2783.6	2601.92	0.04352	1
FBgn0039863	5863.37	5681.69	36.6116	1837
FBgn0037721	843.323	661.895	1.36864	8
FBgn0036459	2408	2226.32	0	0
FBgn0038291	1731	1549.32	14.9099	204
FBgn0001114	3262.38	3080.71	1023.71	27850.9
FBgn0262894	324	142.859	0	0
FBgn0015772	4933.21	4751.53	13.298	558
FBgn0030873	1712.47	1530.79	96.4606	1304
FBgn0086675	7201.88	7020.2	0.126204	7.823
FBgn0038223	4231.17	4049.49	10.9285	390.818
FBgn0027081	2317.86	2136.18	233.08	4397
FBgn0043458	3245.12	3063.44	58.5694	1584.5
FBgn0262010	471	289.748	0	0
FBgn0259963	337	155.852	0	0
FBgn0010238	2156	1974.32	115.226	2009
FBgn0034184	3037.99	2856.31	34.9663	882
FBgn0000018	1794	1612.32	21.4208	305
FBgn0032809	910	728.523	1.24347	8
FBgn0036605	513	331.714	0.588306	1.723
FBgn0052280	1130.99	949.316	41.7488	350
FBgn0000055	1194.27	1012.59	0.178473	1.596
FBgn0033657	3918	3736.32	0.121228	4
FBgn0035421	1684	1502.32	21.6325	287
FBgn0030666	1632.47	1450.79	0.709764	9.093
FBgn0011202	4117.09	3935.41	37.0894	1289
FBgn0050091	1681	1499.32	0.075525	1
FBgn0033260	3382.63	3200.95	33.9963	961
FBgn0283427	8586.5	8404.82	838.144	62210
FBgn0033740	2221.35	2039.67	18.7648	338
FBgn0011725	2758.83	2577.15	27.633	628.899
FBgn0034377	761	579.608	0.586104	3
FBgn0284248	680.993	499.637	810.231	3575
FBgn0040674	712.5	531.114	0	0
FBgn0036323	1637	1455.32	0	0
FBgn0038260	1973	1791.32	2.40213	38
FBgn0034617	1987	1805.32	11.9175	190
FBgn0262018	7567	7385.32	0	0
FBgn0031873	840	658.573	22.0086	128
FBgn0032366	866	684.537	0	0
FBgn0035241	4589.19	4407.51	0.721006	28.064
FBgn0260049	2272.13	2090.46	170.739	3152
FBgn0015558	4438.64	4256.96	0.66501	24.999
FBgn0267875	162	16.774	0	0
FBgn0003870	4166.42	3984.74	29.8953	1052
FBgn0053061	1277.9	1096.22	0.103297	1
FBgn0041181	4928	4746.32	0.023858	1
FBgn0039778	933	751.516	0	0
FBgn0014455	1600.81	1419.14	247.996	3108
FBgn0030462	936.667	755.169	0	0
FBgn0051832	762	580.607	0	0
FBgn0000259	1573.73	1392.13	124.193	1526.82
FBgn0261581	717.5	536.117	0	0
FBgn0039271	836	654.574	8.47666	49
FBgn0031463	1194	1012.32	0	0
FBgn0014006	4618.71	4437.03	32.6667	1280
FBgn0037150	1456	1274.32	15.1951	171
FBgn0030294	1628	1446.32	12.84	164
FBgn0036039	2150.51	1968.83	13.969	242.876
FBgn0029676	2017.34	1835.66	72.4805	1174.97
FBgn0037475	1444.5	1262.82	0	0
FBgn0052076	1529	1347.32	27.9872	333
FBgn0058354	1400	1218.32	2.8503	30.667
FBgn0033738	3602.56	3420.88	41.4763	1253
FBgn0064126	1580.04	1398.36	46.9171	579.379
FBgn0039115	970	788.476	18.1686	126.509
FBgn0010356	2362	2180.32	20.7224	399
FBgn0051100	2434.88	2253.2	0.100511	2
FBgn0263249	318	136.862	0	0
FBgn0039635	1174.92	993.309	186.731	1638
FBgn0050010	708.596	527.229	4.29554	20
FBgn0034495	1429	1247.32	16.1595	178
FBgn0005617	3840.15	3658.48	28.5686	923
FBgn0030703	1448.25	1266.58	111.04	1242
FBgn0036574	4095.44	3913.76	15.1515	523.675
FBgn0038742	1418	1236.32	82.2492	898
FBgn0003162	1642.04	1460.37	5.8155	75
FBgn0046999	672	490.645	0.230792	1
FBgn0037345	831	649.574	18.6527	107
FBgn0037050	1511.9	1330.22	10.6407	125
FBgn0029783	1121.45	939.768	8.79608	72.999
FBgn0261269	3722.33	3540.65	5.30899	166
FBgn0264270	2291.46	2109.78	47.1765	878.974
FBgn0259822	5700.65	5518.98	0.022154	1.079
FBgn0034035	1562	1380.32	30.1074	367
FBgn0039270	868	686.536	12.8653	78
FBgn0031626	1990	1808.32	0	0
FBgn0051324	1936.55	1754.88	54.1869	839.757
FBgn0260858	1469	1287.32	51.4583	585
FBgn0031874	1728.72	1547.05	5.93136	81.034
FBgn0262719	7923.37	7741.69	0.292744	20.014
FBgn0082831	6729.16	6547.49	31.3726	1814
FBgn0259239	3472.1	3290.42	0.103242	3
FBgn0036146	755	573.61	4.73269	23.974
FBgn0035073	3322	3140.32	15.7402	436.514
FBgn0020371	789	607.594	0	0
FBgn0032845	1542.66	1360.98	5.49134	66
FBgn0283651	4406.85	4225.17	0.670012	25
FBgn0267824	2632	2450.32	33.8732	732.979
FBgn0069973	900.181	718.702	16.386	103.999
FBgn0036301	1709	1527.32	17.5713	237
FBgn0265048	4744	4562.32	163.067	6570
FBgn0261057	237.5	57.155	0	0
FBgn0052564	1448	1266.32	0.089422	1
FBgn0030797	1039.42	857.919	14.6152	110.73
FBgn0001296	2185.25	2003.57	4.06925	72
FBgn0259972	1093	911.322	0.152977	1.231
FBgn0053986	871	689.533	0	0
FBgn0032435	2743	2561.32	0.088421	2
FBgn0033905	1134.29	952.615	20.8021	175
FBgn0029539	639.555	458.21	0.000299	0.002
FBgn0030502	2962.96	2781.28	73.9453	1816.22
FBgn0032554	1230	1048.41	0	0
FBgn0036410	2288.73	2107.05	0.483676	9
FBgn0025390	6068.88	5887.2	3.77286	196.151
FBgn0038394	1047	865.322	1.06183	8.114
FBgn0029715	1083.41	901.733	69.9462	557
FBgn0034911	6361	6179.32	0.183251	10
FBgn0026063	2066	1884.32	1.09483	18.219
FBgn0032375	787.575	606.172	0.186806	1
FBgn0033665	1878	1696.32	10.4137	156
FBgn0085380	3223	3041.32	0	0
FBgn0037493	813	631.583	0	0
FBgn0053701	315	133.863	0	0
FBgn0032189	1259	1077.32	11.0365	105
FBgn0033726	683	501.643	0	0
FBgn0037526	2192.89	2011.22	7.31419	129.909
FBgn0028902	2092.59	1910.92	0.237031	4
FBgn0050289	1164	982.322	0.115275	1
FBgn0038131	1100	918.322	0	0
FBgn0004910	2728.17	2546.49	0.088935	2
FBgn0037715	1039.99	858.315	19.7894	150
FBgn0038151	1571	1389.32	0	0
FBgn0005391	1583.75	1402.08	0.080763	1
FBgn0265416	4441.85	4260.17	0.053611	2.017
FBgn0033115	1377.16	1195.49	16.2919	172
FBgn0029587	2943.16	2761.48	1.30042	31.713
FBgn0034300	5059.08	4877.4	13.9764	602
FBgn0265464	2788	2606.32	6.56049	151
FBgn0036112	761	579.608	0	0
FBgn0262730	8113.29	7931.61	26.4374	1851.79
FBgn0262512	659	477.645	90.0878	380
FBgn0015279	4412.88	4231.2	56.6826	2118
FBgn0039831	2818.01	2636.33	67.8172	1578.89
FBgn0261673	1854.56	1672.88	6.83666	101.001
FBgn0026570	1226.02	1044.34	47.3834	437
FBgn0031574	3462.1	3280.42	8.25004	239
FBgn0036761	1779.88	1598.2	52.7143	744
FBgn0085385	5875	5693.32	0.009772	0.491
FBgn0027296	2031.49	1849.81	9.97808	163
FBgn0033259	2863	2681.32	30.0267	711
FBgn0033616	1893	1711.32	9.59453	145
FBgn0030224	1034	852.322	0	0
FBgn0016685	915.997	734.517	358.741	2327
FBgn0003888	2516.66	2334.99	362.139	7467.45
FBgn0025381	2146.3	1964.63	350.628	6083.31
FBgn0052667	368	186.84	1.81819	3
FBgn0031771	1556.44	1374.76	125.527	1523.98
FBgn0042133	1168	986.322	4.82189	42
FBgn0028546	1068.35	886.672	86.8427	680.001
FBgn0037620	1159	977.322	2.20142	19
FBgn0086710	477.181	295.923	3135.87	8195
FBgn0036028	1427	1245.32	10.5478	116
FBgn0000046	1641.85	1460.17	1.36352	17.582
FBgn0034568	3378.48	3196.81	0.495905	14
FBgn0035464	2240.05	2058.38	51.8219	942
FBgn0032331	1716	1534.32	0.221407	3
FBgn0261380	1356	1174.32	24.8782	258
FBgn0039196	1506	1324.32	0	0
FBgn0051683	1880.12	1698.44	5.11936	76.786
FBgn0011754	2931.14	2749.46	29.0601	705.597
FBgn0003250	1349	1167.32	0.097006	1
FBgn0028872	1850.33	1668.66	0	0
FBgn0003975	3463	3281.32	0.138038	4
FBgn0040751	379	197.836	24.368	42.573
FBgn0039958	2074.09	1892.41	28.3458	473.714
FBgn0034201	544.501	363.247	0.311736	1
FBgn0032390	842.461	661.032	65.9516	385
FBgn0031144	1958.65	1776.98	45.5629	715
FBgn0037481	943	761.509	22.1564	149
FBgn0033457	1060.01	878.331	24.4953	190
FBgn0037974	1249.61	1067.93	26.1308	246.438
FBgn0038033	1754	1572.32	0.042951	0.596
FBgn0029689	2699	2517.32	12.5053	278
FBgn0036784	2074	1892.32	0	0
FBgn0085458	750	568.611	0	0
FBgn0033787	1111.83	930.149	5.7218	47
FBgn0031955	5710.13	5528.45	0.368686	18
FBgn0054011	1090	908.322	0	0
FBgn0051092	4019.87	3838.19	7.21502	244.555
FBgn0003218	5091.3	4909.62	14.3921	624
FBgn0029687	2568.06	2386.38	79.4589	1674.54
FBgn0033460	4654.36	4472.68	51.5209	2035
FBgn0039664	1341.3	1159.62	9.28613	95.097
FBgn0037802	1114	932.322	6.80157	56
FBgn0014002	2080.18	1898.5	933.859	15656.9
FBgn0051454	1736	1554.32	0.218558	3
FBgn0046886	1227	1045.32	0	0
FBgn0261060	329	147.855	0	0
FBgn0039349	1857.79	1676.11	23.5106	348
FBgn0036230	922.5	741.018	0	0
FBgn0085599	1023	841.322	13.4793	100.148
FBgn0030292	477	295.742	63.5599	166
FBgn0039132	1032.51	850.914	58.4206	439
FBgn0032790	1215	1033.32	14.1365	129
FBgn0029996	2590.17	2408.49	40.7625	867
FBgn0264830	262	80.907	0	0
FBgn0083972	706	524.635	3.8851	18
FBgn0052221	1606	1424.32	11.7663	148
FBgn0061209	595	413.688	0.075723	0.277
FBgn0019938	5078	4896.32	27.6598	1196
FBgn0029920	757	575.61	0.002845	0.014
FBgn0259728	885	703.526	13.4751	83.719
FBgn0052732	2189	2007.32	16.3434	289.716
FBgn0030164	1289.75	1108.07	0	0
FBgn0033785	1901.63	1719.95	9.17623	139.377
FBgn0250839	1002.19	820.627	0.137988	1.001
FBgn0267887	453	271.759	0.000123	0
FBgn0267365	936	754.513	24.9132	166
FBgn0032150	1075.19	893.532	4.81571	38
FBgn0035360	1631.15	1449.47	1.49267	19.107
FBgn0035833	3722	3540.32	16.6321	520
FBgn0034849	774.367	592.969	70.632	369.868
FBgn0035041	2875.1	2693.42	0.336336	8
FBgn0037067	876	694.529	0	0
FBgn0263197	5869.66	5687.98	70.6338	3548
FBgn0033724	652.798	471.444	53.3224	222
FBgn0265201	476	294.742	1.5904	4.14
FBgn0031690	1669.27	1487.59	0.76121	10.001
FBgn0035009	576	394.692	0	0
FBgn0052601	967	785.479	0	0
FBgn0033996	1957.75	1776.07	18.5533	291
FBgn0034437	2768	2586.32	0.087566	2
FBgn0031247	748	566.612	26.1632	130.915
FBgn0039552	649	467.648	0	0
FBgn0030990	2055.17	1873.49	118.284	1957
FBgn0015925	2002.27	1820.59	34.3953	553
FBgn0029959	1169.66	987.986	31.9772	279
FBgn0001276	727	545.628	24.9042	120
FBgn0036277	437	255.772	120.864	273
FBgn0052643	548	366.698	0	0
FBgn0263782	3818	3636.32	11.7088	376
FBgn0035695	4236.34	4054.66	0.055855	2
FBgn0034138	627.224	445.89	3666.37	14437
FBgn0035997	3198.42	3016.74	22.2965	594
FBgn0028541	2463.86	2282.19	71.0029	1431
FBgn0053666	666	484.645	0	0
FBgn0051860	2260.5	2078.82	0	0
FBgn0035312	1183	1001.32	16.8743	149.215
FBgn0036236	1075	893.322	0.127278	1.004
FBgn0259735	6324.9	6143.22	135.94	7374.88
FBgn0037094	3105	2923.33	44.8558	1158
FBgn0051953	715	533.631	3.31639	15.629
FBgn0029523	2309	2127.32	1.25868	23.646
FBgn0035374	1144	962.322	67.5427	574
FBgn0034514	440	258.769	0	0
FBgn0038934	4998.81	4817.13	0.094029	4
FBgn0036360	2534	2352.32	0	0
FBgn0014465	1051.87	870.408	0.130855	1.006
FBgn0038471	1102	920.322	21.1629	172
FBgn0038047	1623	1441.32	4.24248	54
FBgn0064237	1495	1313.32	0.172443	2
FBgn0032036	2398.94	2217.26	258.774	5067
FBgn0038207	740	558.614	0	0
FBgn0259821	4371.37	4189.69	4.51358	167
FBgn0032084	1431.76	1250.08	1.90225	21
FBgn0014427	1176	994.322	12.9827	114
FBgn0031257	2617.94	2436.26	55.7291	1199
FBgn0041094	2289.33	2107.66	75.0225	1396.38
FBgn0033988	2216	2034.32	35.5131	638
FBgn0001986	3585	3403.32	36.6995	1103
FBgn0032078	1985.21	1803.53	295.22	4702
FBgn0038551	1645	1463.32	26.6972	345
FBgn0000808	1967.65	1785.97	6.97439	110
FBgn0036895	3746	3564.32	0.063539	2
FBgn0266455	280	98.889	0	0
FBgn0031575	2409.89	2228.21	13.4622	264.901
FBgn0033880	1145	963.322	3.64399	31
FBgn0051661	1341	1159.32	0	0
FBgn0283476	12442	12260.3	0.009236	1
FBgn0032882	1961	1779.32	46.0588	723.736
FBgn0025700	892.245	710.766	166.326	1044
FBgn0039811	514	332.714	0	0
FBgn0086447	408.111	226.917	43.7435	87.658
FBgn0000463	4781.36	4599.69	0.125047	5.08
FBgn0034748	1924	1742.32	19.0426	293
FBgn0042138	1252.28	1070.6	90.433	854.999
FBgn0017556	1211.5	1029.82	0	0
FBgn0267423	640	458.654	0	0
FBgn0052843	3276.48	3094.8	0.053753	1.469
FBgn0250827	860	678.541	0.333765	2
FBgn0023536	2345	2163.32	3.55938	68
FBgn0263236	3111.03	2929.36	1.12102	28.999
FBgn0039379	1894	1712.32	42.7864	647
FBgn0263842	318	136.862	0	0
FBgn0259676	1753	1571.32	19.6736	273
FBgn0050005	887	705.525	35.6933	222.388
FBgn0036842	2788.09	2606.41	39.5354	910
FBgn0026718	1519.08	1337.4	4.31813	51
FBgn0034061	656	474.645	49.1457	206
FBgn0038877	2124	1942.32	36.6132	628.017
FBgn0262588	777	595.601	18.822	99
FBgn0264979	1381	1199.32	11.1413	118
FBgn0010772	3249.01	3067.33	31.0472	841
FBgn0034127	2103	1921.32	0.353621	6
FBgn0261850	2797	2615.32	25.762	595
FBgn0037853	1642	1460.32	105.923	1366
FBgn0038851	978	796.465	2.13261	15
FBgn0083942	556	374.696	0	0
FBgn0004915	1412.3	1230.62	45.6524	496.135
FBgn0265630	6015.8	5834.12	26.1444	1347
FBgn0034870	870	688.534	0.164461	1
FBgn0036483	4063.1	3881.42	9.18981	315
FBgn0026869	6323.4	6141.72	30.9452	1678.4
FBgn0051404	981	799.463	0	0
FBgn0050446	2303	2121.32	0.320282	6
FBgn0033020	669.473	488.118	0.231987	1
FBgn0036450	2644	2462.32	42.9986	935
FBgn0085479	1472	1290.32	0.263275	3
FBgn0037045	1081	899.322	12.0877	96
FBgn0030114	2654.21	2472.53	39.2945	857.999
FBgn0046685	2895	2713.32	48.3275	1158
FBgn0031951	1176.71	995.032	32.169	282.675
FBgn0030310	741.513	560.125	425.149	2103
FBgn0032251	1034.39	852.708	10.4909	79
FBgn0036009	1497	1315.32	0.08609	1
FBgn0039266	1547.69	1366.01	56.4521	681.001
FBgn0034194	1754.82	1573.14	26.6331	370
FBgn0004554	569.5	388.193	0	0
FBgn0003360	1714.91	1533.23	47.2552	639.838
FBgn0030320	3600.83	3419.16	20.8314	629
FBgn0261639	849	667.566	6.26632	36.942
FBgn0030812	4530.02	4348.35	41.3005	1585.96
FBgn0052091	2967	2785.32	1.38226	34
FBgn0039183	3133.27	2951.6	32.911	857.849
FBgn0000299	5698.28	5516.61	1067.81	52021
FBgn0004892	2611	2429.32	0.046612	1
FBgn0038602	615	433.681	0.261106	1
FBgn0037260	1785	1603.32	0.918142	13
FBgn0052668	2676	2494.32	0.680967	15
FBgn0001250	5702.3	5520.62	0.780652	38.059
FBgn0036795	1548	1366.32	0	0
FBgn0015321	1146.97	965.296	68.3904	582.999
FBgn0030202	348	166.848	0	0
FBgn0030244	967.414	785.887	2.16132	15
FBgn0039501	2472	2290.32	7.56453	153
FBgn0038127	935	753.514	0	0
FBgn0003129	2566	2384.32	0.047492	1
FBgn0033100	547.828	366.525	41.3988	134
FBgn0030832	708	526.633	0	0
FBgn0264738	1067	885.322	0	0
FBgn0036302	2212.77	2031.09	63.8913	1146
FBgn0011205	1944.11	1762.43	58.5202	910.814
FBgn0028700	1278.15	1096.47	37.5152	363.26
FBgn0039927	3409.91	3228.23	6.66967	190.143
FBgn0038079	689.718	508.348	0.445508	2
FBgn0040066	1650.11	1468.43	56.216	729
FBgn0030833	3835.37	3653.69	3.65711	118
FBgn0036656	1426.34	1244.66	1.10899	12.19
FBgn0053531	4551.69	4370.01	0.103649	4
FBgn0033982	3104.5	2922.82	0.516861	13.341
FBgn0085237	380	198.836	0	0
FBgn0052086	1524	1342.32	0	0
FBgn0284247	12280.5	12098.8	0	0
FBgn0039434	1030	848.322	0.133483	1
FBgn0051933	2076	1894.32	0	0
FBgn0038830	670	488.645	18.3072	79
FBgn0035294	1682	1500.32	80.834	1071.01
FBgn0040793	417	235.795	511.45	1065
FBgn0014179	2025.99	1844.31	0.184194	3
FBgn0031145	829.036	647.632	283.55	1621.7
FBgn0033234	1977.27	1795.59	0.827251	13.118
FBgn0040343	579.938	398.617	0.284075	1
FBgn0050491	1217.8	1036.12	3.96507	36.281
FBgn0034420	3250.15	3068.47	123.921	3358
FBgn0054008	715	533.631	6.80237	32.056
FBgn0037297	1594.12	1412.44	21.4057	266.999
FBgn0031725	2617.81	2436.13	0.046482	1
FBgn0039307	1248	1066.32	0	0
FBgn0035435	1103	921.322	9.95545	81
FBgn0013810	12202	12020.3	3.59861	382
FBgn0003963	4700.29	4518.61	80.9691	3231
FBgn0030494	858	676.543	0.167376	1
FBgn0039055	3473	3291.32	28.5902	831
FBgn0040308	1040.67	858.995	90.8271	689.001
FBgn0039620	2274	2092.32	1.353	25
FBgn0015765	1453.59	1271.91	20.2986	228
FBgn0031270	686.784	505.426	6.27318	28
FBgn0029795	1576.99	1395.31	0.892708	11
FBgn0030049	4105.37	3923.69	63.98	2216.93
FBgn0052702	11349	11167.3	6.15498	607
FBgn0032938	3687.35	3505.67	43.5741	1349
FBgn0037760	4638.98	4457.3	33.7883	1330
FBgn0259832	474	292.745	13.9251	36
FBgn0020440	4551.89	4370.21	14.8729	574
FBgn0004590	639	457.655	0	0
FBgn0024941	3599.8	3418.12	0.066257	2
FBgn0035084	1479.43	1297.76	7.32949	84
FBgn0038752	2194	2012.32	0	0
FBgn0051643	2890	2708.32	0	0
FBgn0030746	3778.83	3597.15	0.786989	25.001
FBgn0015714	1563.62	1381.94	63.1638	770.852
FBgn0037506	1426	1244.32	0.273008	3
FBgn0266977	516	334.713	0	0
FBgn0035077	1165	983.322	0.545333	4.736
FBgn0053109	1025	843.322	0.134275	1
FBgn0002933	523	341.707	0	0
FBgn0085331	825	643.577	0	0
FBgn0261584	1689.42	1507.74	2.92904	39
FBgn0033362	2188.41	2006.73	3.78071	67.001
FBgn0030575	1409.71	1228.04	4.42606	48
FBgn0015572	1749	1567.32	0.577988	8
FBgn0013276	2375	2193.32	12.3025	238.291
FBgn0032613	2123	1941.32	21.232	364
FBgn0036225	1146	964.322	0	0
FBgn0052208	514	332.714	0.009014	0.026
FBgn0017567	819	637.579	168.902	951
FBgn0014388	3416.48	3234.81	586.04	16741.3
FBgn0046763	1934	1752.32	90.1036	1394.34
FBgn0037061	627	445.667	22.3594	88
FBgn0030941	2416.57	2234.89	55.9877	1105
FBgn0029809	1433	1251.32	0.090494	1
FBgn0053120	2301	2119.32	1.28234	24
FBgn0015614	1262.5	1080.83	82.0926	783.561
FBgn0033498	1268	1086.32	0.104239	1
FBgn0022224	396	214.822	41.6423	79
FBgn0033729	794.5	613.011	0	0
FBgn0260453	1568.85	1387.17	0.571419	7
FBgn0039160	1362	1180.32	68.577	714.812
FBgn0032750	1371	1189.32	11.4253	120
FBgn0262738	7035.66	6853.98	17.5064	1059.63
FBgn0033979	1744.49	1562.81	0.65588	9.051
FBgn0032651	1360	1178.32	0	0
FBgn0050376	941	759.512	0	0
FBgn0039495	1455	1273.32	0.26679	3
